"X","Area","XM","YM","Perim.","Major","Minor","Angle","Slice","MinThr","MaxThr","sample_ID","campaign","year","date"
1,0,NA,NA,4536,NA,NA,0,1,1,255,"FASY_04","2","2024","2024-07-09"
2,0,NA,NA,4536,NA,NA,0,2,1,255,"FASY_04","2","2024","2024-07-09"
3,0,NA,NA,4536,NA,NA,0,3,1,255,"FASY_04","2","2024","2024-07-09"
4,0,NA,NA,4536,NA,NA,0,4,1,255,"FASY_04","2","2024","2024-07-09"
5,0,NA,NA,4536,NA,NA,0,5,1,255,"FASY_04","2","2024","2024-07-09"
6,0,NA,NA,4536,NA,NA,0,6,1,255,"FASY_04","2","2024","2024-07-09"
7,0,NA,NA,4536,NA,NA,0,7,1,255,"FASY_04","2","2024","2024-07-09"
8,0,NA,NA,4536,NA,NA,0,8,1,255,"FASY_04","2","2024","2024-07-09"
9,99,450.662,329.924,4536,19.52,6.457,144.198,9,1,255,"FASY_04","2","2024","2024-07-09"
10,135,470.056,375.73,4536,21.729,7.911,146.268,10,1,255,"FASY_04","2","2024","2024-07-09"
11,274,367.055,443.766,4536,22.291,15.65,125.629,11,1,255,"FASY_04","2","2024","2024-07-09"
12,128,535.203,508.117,4536,16.728,9.743,18.771,12,1,255,"FASY_04","2","2024","2024-07-09"
13,329,679.394,633.059,4536,24.282,17.251,165.496,13,1,255,"FASY_04","2","2024","2024-07-09"
14,431,407.277,634.289,4536,26.423,20.768,124.987,14,1,255,"FASY_04","2","2024","2024-07-09"
15,245,489.406,546.031,4536,20.241,15.412,177.379,15,1,255,"FASY_04","2","2024","2024-07-09"
16,198,682.303,674.086,4536,16.798,15.008,104.215,16,1,255,"FASY_04","2","2024","2024-07-09"
17,702,359.162,568.91,4536,34.333,26.034,163.997,17,1,255,"FASY_04","2","2024","2024-07-09"
18,280,408.593,595.893,4536,22.638,15.748,25.209,18,1,255,"FASY_04","2","2024","2024-07-09"
19,246,563.85,587.707,4536,20.687,15.14,175.788,19,1,255,"FASY_04","2","2024","2024-07-09"
20,126,357.294,596.278,4536,18.553,8.647,30.374,20,1,255,"FASY_04","2","2024","2024-07-09"
21,162,418.068,562.198,4536,16.967,12.157,171.983,21,1,255,"FASY_04","2","2024","2024-07-09"
22,156,680.199,653.846,4536,18.436,10.774,165.566,22,1,255,"FASY_04","2","2024","2024-07-09"
23,245,694.696,582.618,4536,21.115,14.774,13.504,23,1,255,"FASY_04","2","2024","2024-07-09"
24,105,397.443,624.681,4536,13.071,10.228,29.999,24,1,255,"FASY_04","2","2024","2024-07-09"
25,85,282.994,681.253,4536,14.049,7.703,178.452,25,1,255,"FASY_04","2","2024","2024-07-09"
26,119,827.248,717.492,4536,21.089,7.185,163.744,26,1,255,"FASY_04","2","2024","2024-07-09"
27,119,704.903,487.483,4536,15.915,9.52,18.498,27,1,255,"FASY_04","2","2024","2024-07-09"
28,129,986.043,246.981,4536,16.386,10.024,107.091,28,1,255,"FASY_04","2","2024","2024-07-09"
29,111,758.581,332.401,4536,12.181,11.602,172.292,29,1,255,"FASY_04","2","2024","2024-07-09"
30,58,693.086,490.362,4536,13.421,5.502,19.797,30,1,255,"FASY_04","2","2024","2024-07-09"
31,98,745.541,449.02,4536,13.854,9.007,179.472,31,1,255,"FASY_04","2","2024","2024-07-09"
32,149,601.581,366.99,4536,20.98,9.043,3.832,32,1,255,"FASY_04","2","2024","2024-07-09"
33,48,507.375,394.458,4536,12.64,4.835,12.858,33,1,255,"FASY_04","2","2024","2024-07-09"
34,119,687.651,370.366,4536,17.916,8.457,176.66,34,1,255,"FASY_04","2","2024","2024-07-09"
35,160,822.231,461.962,4536,19.772,10.303,153.266,35,1,255,"FASY_04","2","2024","2024-07-09"
36,185,747.354,563.073,4536,18.289,12.88,157.886,36,1,255,"FASY_04","2","2024","2024-07-09"
37,316,822.63,586.668,4536,29.454,13.66,25.41,37,1,255,"FASY_04","2","2024","2024-07-09"
38,151,858.142,491.275,4536,17.557,10.951,24.978,38,1,255,"FASY_04","2","2024","2024-07-09"
39,2,580,715.5,4536,64.971,0.039,179.401,39,1,255,"FASY_04","2","2024","2024-07-09"
40,103,795.228,509.811,4536,13.321,9.845,178.992,40,1,255,"FASY_04","2","2024","2024-07-09"
41,44,1035.136,208.341,4536,10.712,5.23,7.296,41,1,255,"FASY_04","2","2024","2024-07-09"
42,108,961.324,474.75,4536,20.348,6.758,170.505,42,1,255,"FASY_04","2","2024","2024-07-09"
43,114,989.491,579.351,4536,19.097,7.601,157.666,43,1,255,"FASY_04","2","2024","2024-07-09"
44,48,686.208,441.438,4536,10.328,5.918,1.055,44,1,255,"FASY_04","2","2024","2024-07-09"
45,49,840.602,642.602,4536,8.992,6.938,173.864,45,1,255,"FASY_04","2","2024","2024-07-09"
46,92,261.304,803.37,4536,12.089,9.689,43.254,46,1,255,"FASY_04","2","2024","2024-07-09"
47,65,449.1,826.715,4536,15.059,5.496,17.702,47,1,255,"FASY_04","2","2024","2024-07-09"
48,122,354.041,323.041,4536,22.401,6.934,147.23,48,1,255,"FASY_04","2","2024","2024-07-09"
49,92,573.587,434.761,4536,13.514,8.668,167.546,49,1,255,"FASY_04","2","2024","2024-07-09"
50,38,781.237,739.684,4536,8.59,5.632,12.923,50,1,255,"FASY_04","2","2024","2024-07-09"
51,39,343.038,709.5,4536,8.715,5.698,155.816,51,1,255,"FASY_04","2","2024","2024-07-09"
52,10,890.1,320.8,4536,4.841,2.63,170.928,52,1,255,"FASY_04","2","2024","2024-07-09"
53,106,738.208,621.16,4536,19.257,7.008,160.894,53,1,255,"FASY_04","2","2024","2024-07-09"
54,71,680.556,643.81,4536,10.26,8.811,34.392,54,1,255,"FASY_04","2","2024","2024-07-09"
55,17,574.735,514.676,4536,7.358,2.942,144.074,55,1,255,"FASY_04","2","2024","2024-07-09"
56,50,743.96,476.02,4536,12.798,4.974,28.474,56,1,255,"FASY_04","2","2024","2024-07-09"
57,10,745.1,255.2,4536,4.998,2.548,6.574,57,1,255,"FASY_04","2","2024","2024-07-09"
58,15,74.633,335.3,4536,5.548,3.442,112.217,58,1,255,"FASY_04","2","2024","2024-07-09"
59,208,893.639,265.346,4536,17.013,15.566,176.346,59,1,255,"FASY_04","2","2024","2024-07-09"
60,70,804.671,234.786,4536,15.661,5.691,6.125,60,1,255,"FASY_04","2","2024","2024-07-09"
61,41,791.988,609.963,4536,9.374,5.569,164.338,61,1,255,"FASY_04","2","2024","2024-07-09"
62,72,400.597,635.472,4536,12.235,7.492,168.991,62,1,255,"FASY_04","2","2024","2024-07-09"
63,89,355.556,731.972,4536,17.237,6.574,0.92,63,1,255,"FASY_04","2","2024","2024-07-09"
64,32,981.5,766.969,4536,7.604,5.358,166.211,64,1,255,"FASY_04","2","2024","2024-07-09"
65,32,320.156,402.844,4536,11.231,3.628,14.424,65,1,255,"FASY_04","2","2024","2024-07-09"
66,28,390.714,479.321,4536,10.554,3.378,153.2,66,1,255,"FASY_04","2","2024","2024-07-09"
67,18,980.944,780.167,4536,7.699,2.977,163.361,67,1,255,"FASY_04","2","2024","2024-07-09"
