"X","Area","XM","YM","Perim.","Major","Minor","Angle","Slice","MinThr","MaxThr","sample_ID","campaign","year","date"
1,0,NA,NA,4536,NA,NA,0,1,1,255,"FREX_05","2","2024","2024-07-09"
2,0,NA,NA,4536,NA,NA,0,2,1,255,"FREX_05","2","2024","2024-07-09"
3,0,NA,NA,4536,NA,NA,0,3,1,255,"FREX_05","2","2024","2024-07-09"
4,258,645.647,463.256,4536,21.508,15.273,135.846,4,1,255,"FREX_05","2","2024","2024-07-09"
5,328,673.366,697.244,4536,22.587,18.489,14.598,5,1,255,"FREX_05","2","2024","2024-07-09"
6,218,655.11,713.183,4536,19.319,14.368,139.005,6,1,255,"FREX_05","2","2024","2024-07-09"
7,197,569.586,685.571,4536,16.464,15.235,166.588,7,1,255,"FREX_05","2","2024","2024-07-09"
8,316,715.854,711.481,4536,23.125,17.399,129.239,8,1,255,"FREX_05","2","2024","2024-07-09"
9,442,691.729,821.057,4536,30.568,18.411,2.153,9,1,255,"FREX_05","2","2024","2024-07-09"
10,92,677.12,359.391,4536,14.067,8.327,164.353,10,1,255,"FREX_05","2","2024","2024-07-09"
11,135,666.641,709.767,4536,17.46,9.844,147.897,11,1,255,"FREX_05","2","2024","2024-07-09"
12,167,595.302,804.003,4536,20.24,10.506,148.43,12,1,255,"FREX_05","2","2024","2024-07-09"
13,219,522.961,628.979,4536,21.465,12.99,169.583,13,1,255,"FREX_05","2","2024","2024-07-09"
14,47,472.287,469.734,4536,10.447,5.728,19.088,14,1,255,"FREX_05","2","2024","2024-07-09"
15,62,928.968,624,4536,9.887,7.984,0.459,15,1,255,"FREX_05","2","2024","2024-07-09"
16,49,261.745,488.99,4536,9.272,6.729,33.24,16,1,255,"FREX_05","2","2024","2024-07-09"
17,69,770.341,573.529,4536,12.404,7.083,169.846,17,1,255,"FREX_05","2","2024","2024-07-09"
18,169,427.121,373.488,4536,18.063,11.913,0.078,18,1,255,"FREX_05","2","2024","2024-07-09"
19,50,730.68,503.28,4536,13.161,4.837,167.162,19,1,255,"FREX_05","2","2024","2024-07-09"
20,89,552.904,528.343,4536,12.386,9.149,23.236,20,1,255,"FREX_05","2","2024","2024-07-09"
21,66,270.561,751.136,4536,13.753,6.11,168.099,21,1,255,"FREX_05","2","2024","2024-07-09"
22,54,591.648,375.759,4536,9.017,7.625,176.742,22,1,255,"FREX_05","2","2024","2024-07-09"
23,185,960.722,456.435,4536,19.121,12.319,174.159,23,1,255,"FREX_05","2","2024","2024-07-09"
24,27,583.093,265.537,4536,8.052,4.27,166.926,24,1,255,"FREX_05","2","2024","2024-07-09"
25,58,706.069,524.138,4536,10.898,6.777,163.442,25,1,255,"FREX_05","2","2024","2024-07-09"
26,29,516.603,587.879,4536,7.488,4.931,171.092,26,1,255,"FREX_05","2","2024","2024-07-09"
27,45,811.456,706.7,4536,9.591,5.974,174.593,27,1,255,"FREX_05","2","2024","2024-07-09"
28,85,631.912,463.382,4536,14.368,7.532,151.909,28,1,255,"FREX_05","2","2024","2024-07-09"
29,22,1199.636,467.091,4536,7.279,3.848,39.334,29,1,255,"FREX_05","2","2024","2024-07-09"
30,139,446.342,329.277,4536,18.517,9.558,158.388,30,1,255,"FREX_05","2","2024","2024-07-09"
31,33,806.591,648.106,4536,7.94,5.292,156.705,31,1,255,"FREX_05","2","2024","2024-07-09"
32,122,683.943,292.369,4536,17.378,8.939,9.382,32,1,255,"FREX_05","2","2024","2024-07-09"
