"X","Area","XM","YM","Perim.","Major","Minor","Angle","Slice","MinThr","MaxThr","sample_ID","campaign","year","date"
1,0,NA,NA,4536,NA,NA,0,1,1,255,"FASY_03","1","2024","2024-05-29"
2,1707,696.737,453.31,4536,54.863,39.615,78.741,2,1,255,"FASY_03","1","2024","2024-05-29"
3,1665,603.67,580.974,4536,47.956,44.206,147.064,3,1,255,"FASY_03","1","2024","2024-05-29"
4,507,614.141,621.167,4536,27.227,23.709,77.822,4,1,255,"FASY_03","1","2024","2024-05-29"
5,332,822.343,575.732,4536,24.481,17.267,1.816,5,1,255,"FASY_03","1","2024","2024-05-29"
6,475,747.479,613.306,4536,32.731,18.478,20.4,6,1,255,"FASY_03","1","2024","2024-05-29"
7,287,564.855,575.166,4536,26.171,13.963,136.006,7,1,255,"FASY_03","1","2024","2024-05-29"
8,509,648.095,587.16,4536,29.54,21.939,15.468,8,1,255,"FASY_03","1","2024","2024-05-29"
9,245,881.41,458.553,4536,20.138,15.491,39.021,9,1,255,"FASY_03","1","2024","2024-05-29"
10,319,613.472,760.105,4536,24.63,16.49,7.634,10,1,255,"FASY_03","1","2024","2024-05-29"
11,188,528.654,373.282,4536,17.99,13.306,139.856,11,1,255,"FASY_03","1","2024","2024-05-29"
12,129,769.857,581.229,4536,16.546,9.927,45.271,12,1,255,"FASY_03","1","2024","2024-05-29"
13,114,431,532.991,4536,15.001,9.676,179.412,13,1,255,"FASY_03","1","2024","2024-05-29"
14,351,597.392,675.694,4536,22.799,19.602,147.523,14,1,255,"FASY_03","1","2024","2024-05-29"
15,29,613.431,586.534,4536,7.346,5.027,5.762,15,1,255,"FASY_03","1","2024","2024-05-29"
16,125,670.588,314.196,4536,16.451,9.675,4.806,16,1,255,"FASY_03","1","2024","2024-05-29"
17,91,828.511,732.247,4536,14.819,7.818,172.501,17,1,255,"FASY_03","1","2024","2024-05-29"
18,138,756.87,534.79,4536,15.779,11.136,15.888,18,1,255,"FASY_03","1","2024","2024-05-29"
19,178,830.427,500.208,4536,20.165,11.239,19.507,19,1,255,"FASY_03","1","2024","2024-05-29"
20,174,894.339,731.149,4536,19.915,11.125,65.971,20,1,255,"FASY_03","1","2024","2024-05-29"
21,69,889.355,391.036,4536,11.831,7.426,162.016,21,1,255,"FASY_03","1","2024","2024-05-29"
22,44,651.955,676.795,4536,12.045,4.651,168.951,22,1,255,"FASY_03","1","2024","2024-05-29"
23,144,806.181,831.597,4536,18.799,9.753,176.011,23,1,255,"FASY_03","1","2024","2024-05-29"
24,64,332.078,379.797,4536,11.101,7.341,36.494,24,1,255,"FASY_03","1","2024","2024-05-29"
25,111,620.311,710.995,4536,12.77,11.067,169.133,25,1,255,"FASY_03","1","2024","2024-05-29"
26,280,835.782,593.657,4536,24.898,14.319,52.367,26,1,255,"FASY_03","1","2024","2024-05-29"
27,29,640.776,665.052,4536,9.93,3.719,142.734,27,1,255,"FASY_03","1","2024","2024-05-29"
28,55,842.245,381.336,4536,11.278,6.21,148.786,28,1,255,"FASY_03","1","2024","2024-05-29"
29,139,615.543,519.507,4536,16.947,10.443,163.675,29,1,255,"FASY_03","1","2024","2024-05-29"
30,27,473.574,330.87,4536,7.66,4.488,14.214,30,1,255,"FASY_03","1","2024","2024-05-29"
31,50,705.14,727.42,4536,11.249,5.659,171.283,31,1,255,"FASY_03","1","2024","2024-05-29"
32,187,845.356,613.912,4536,17.69,13.46,129.529,32,1,255,"FASY_03","1","2024","2024-05-29"
33,129,585.05,537.05,4536,15.698,10.463,4.922,33,1,255,"FASY_03","1","2024","2024-05-29"
34,155,665.197,521.235,4536,21.5,9.179,159.51,34,1,255,"FASY_03","1","2024","2024-05-29"
35,48,940.312,477.979,4536,8.953,6.826,169.87,35,1,255,"FASY_03","1","2024","2024-05-29"
36,17,347.912,411.441,4536,6.142,3.524,3.491,36,1,255,"FASY_03","1","2024","2024-05-29"
37,208,913.183,476.962,4536,18.372,14.415,169.033,37,1,255,"FASY_03","1","2024","2024-05-29"
38,34,300.5,425.559,4536,10.52,4.115,39.306,38,1,255,"FASY_03","1","2024","2024-05-29"
39,229,839.897,203.43,4536,19.192,15.193,18.519,39,1,255,"FASY_03","1","2024","2024-05-29"
40,151,497.526,430.076,4536,20.396,9.426,156.524,40,1,255,"FASY_03","1","2024","2024-05-29"
41,39,286.295,614.526,4536,11.131,4.461,169.334,41,1,255,"FASY_03","1","2024","2024-05-29"
42,32,490.75,675.531,4536,8.896,4.58,16.951,42,1,255,"FASY_03","1","2024","2024-05-29"
43,58,806.724,541.086,4536,11.693,6.316,151.15,43,1,255,"FASY_03","1","2024","2024-05-29"
44,68,711.426,632.853,4536,13.83,6.26,170.56,44,1,255,"FASY_03","1","2024","2024-05-29"
45,423,569.618,833.048,4536,24.332,22.135,174.625,45,1,255,"FASY_03","1","2024","2024-05-29"
46,35,847.3,359.9,4536,9.783,4.555,20.804,46,1,255,"FASY_03","1","2024","2024-05-29"
47,240,311.208,758.471,4536,19.941,15.324,168.063,47,1,255,"FASY_03","1","2024","2024-05-29"
48,132,855.697,534.455,4536,19.532,8.605,163.084,48,1,255,"FASY_03","1","2024","2024-05-29"
49,21,550.167,679.071,4536,5.49,4.87,137.022,49,1,255,"FASY_03","1","2024","2024-05-29"
50,66,789.879,558.5,4536,10.128,8.297,0.273,50,1,255,"FASY_03","1","2024","2024-05-29"
51,47,854.67,670.798,4536,10.581,5.656,174.696,51,1,255,"FASY_03","1","2024","2024-05-29"
52,59,743.5,527.263,4536,10.362,7.25,152.453,52,1,255,"FASY_03","1","2024","2024-05-29"
53,110,899.555,364.491,4536,14.646,9.563,161.817,53,1,255,"FASY_03","1","2024","2024-05-29"
54,79,557.399,183.146,4536,12.727,7.903,57.275,54,1,255,"FASY_03","1","2024","2024-05-29"
55,178,560.534,515.933,4536,19.316,11.733,17.283,55,1,255,"FASY_03","1","2024","2024-05-29"
56,46,795.696,531.283,4536,10.626,5.512,173.028,56,1,255,"FASY_03","1","2024","2024-05-29"
57,74,316.149,358.703,4536,10.872,8.666,146.412,57,1,255,"FASY_03","1","2024","2024-05-29"
58,106,1007.019,806.274,4536,13.688,9.86,161.813,58,1,255,"FASY_03","1","2024","2024-05-29"
59,72,778.042,557.694,4536,11.063,8.286,173.754,59,1,255,"FASY_03","1","2024","2024-05-29"
60,146,724.13,509.178,4536,20.139,9.231,174.48,60,1,255,"FASY_03","1","2024","2024-05-29"
61,71,485.007,389.655,4536,13.777,6.562,151.067,61,1,255,"FASY_03","1","2024","2024-05-29"
62,128,844.258,394.578,4536,16.379,9.95,166.179,62,1,255,"FASY_03","1","2024","2024-05-29"
63,207,862.795,227.505,4536,18.142,14.528,130.277,63,1,255,"FASY_03","1","2024","2024-05-29"
64,187,695.537,254.816,4536,19.154,12.43,33.599,64,1,255,"FASY_03","1","2024","2024-05-29"
65,41,655.11,188.573,4536,9.505,5.492,175.203,65,1,255,"FASY_03","1","2024","2024-05-29"
66,59,601.653,472.856,4536,9.312,8.067,126.314,66,1,255,"FASY_03","1","2024","2024-05-29"
67,106,682.009,756.415,4536,14.884,9.068,42.324,67,1,255,"FASY_03","1","2024","2024-05-29"
68,90,849.544,270.744,4536,14.776,7.755,169.061,68,1,255,"FASY_03","1","2024","2024-05-29"
